# Vectores negativos del CABLE (spec/RPC.md, seccion «Los rechazos del cable»; RFC-0005 E3, sellado en el asiento 409).
# fichero|codigo de salida esperado|texto que la salida (stdout+stderr) tiene que contener
# Derivados por mutacion de la cabeza real de spec/vectors/paquete/posicion-v2.json (191176bbe7146627); jamas se reescriben (regla 2 del PROCESO).
# El consumidor es tools/cable_respuesta.sh -> zk-ssl-cli witness --respuesta: clase y texto son los que el testigo anota en vivo.
positivo-cabeza.json|0|VERDE: nueva
rechazo-formatVersion-4.json|1|no-verifica · formatVersion 4: el testigo recompone cabezas v2 o v3
rechazo-formatVersion-1.json|1|no-verifica · formatVersion 1: el testigo recompone cabezas v2 o v3
rechazo-formatVersion-0x103.json|1|no-verifica · formatVersion 259: el testigo recompone cabezas v2 o v3
rechazo-recomposicion.json|1|no-verifica · los campos NO recomponen el epochDigest firmado (v3)
rechazo-firma.json|1|no-verifica · la firma no verifica
rechazo-forma-del-cable.json|1|no-verifica · forma del cable
rechazo-available-false.json|1|sin-firma · sin cabeza firmada todavia
rechazo-sin-result.json|1|sin-respuesta · respuesta sin `result`
rechazo-epochDigest-corto.json|1|no-verifica · forma del cable: longitud 31, se esperaban 32 bytes
rechazo-sin-index.json|1|no-verifica · cabeza firmada sin index: el productor la sirvio incompleta
